_id,State,Const. No.,Constituency,Leading Candidate,Leading Party,Trailing Canddiate,Trailing Party,Margin,Status
175,Madhya Pradesh,19,BHOPAL,ALOK SHARMA,Bharatiya Janata Party,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,501499,Result Declared
176,Madhya Pradesh,16,CHHINDWARA,BUNTY VIVEK SAHU,Bharatiya Janata Party,NAKUL KAMALNATH,Indian National Congress,113618,Result Declared
177,Madhya Pradesh,7,DAMOH,RAHUL SINGH LODHI,Bharatiya Janata Party,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,406426,Result Declared
178,Madhya Pradesh,21,DEWAS,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,425225,Result Declared
179,Madhya Pradesh,25,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,RADHESHYAM MUVEL,Indian National Congress,218665,Result Declared
180,Madhya Pradesh,4,GUNA,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,540929,Result Declared
181,Madhya Pradesh,3,GWALIOR,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,PRAVEEN PATHAK,Indian National Congress,70210,Result Declared
182,Madhya Pradesh,17,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,431696,Result Declared
183,Madhya Pradesh,26,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,1175092,Result Declared
184,Madhya Pradesh,13,JABALPUR,ASHISH DUBEY,Bharatiya Janata Party,DINESH YADAV,Indian National Congress,486674,Result Declared
185,Madhya Pradesh,8,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,KAMLESH KUMAR,Bahujan Samaj Party,541229,Result Declared
186,Madhya Pradesh,28,KHANDWA,GYANESHWAR PATIL,Bharatiya Janata Party,NARENDRA PATEL,Indian National Congress,269971,Result Declared
187,Madhya Pradesh,27,KHARGONE,GAJENDRA SINGH PATEL,Bharatiya Janata Party,PORLAL BATHA KHARTE,Indian National Congress,135018,Result Declared
188,Madhya Pradesh,14,MANDLA,FAGGAN SINGH KULASTE,Bharatiya Janata Party,OMKAR SINGH MARKAM,Indian National Congress,103846,Result Declared
189,Madhya Pradesh,23,MANDSOUR,SUDHEER GUPTA,Bharatiya Janata Party,DILIP SINGH GURJAR,Indian National Congress,500655,Result Declared
190,Madhya Pradesh,1,MORENA,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,52530,Result Declared
191,Madhya Pradesh,20,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,146089,Result Declared
192,Madhya Pradesh,24,RATLAM,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Result Declared
193,Madhya Pradesh,10,REWA,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Result Declared
194,Madhya Pradesh,5,SAGAR,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Result Declared
195,Madhya Pradesh,9,SATNA,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Result Declared
196,Madhya Pradesh,12,SHAHDOL,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Result Declared
197,Madhya Pradesh,11,SIDHI,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Result Declared
198,Madhya Pradesh,6,TIKAMGARH,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared
199,Madhya Pradesh,22,UJJAIN,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared
200,Madhya Pradesh,18,VIDISHA,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
201,Maharashtra,37,Ahmednagar,NILESH DNYANDEV LANKE,Nationalist Congress Party  Sharadchandra Pawar,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,28929,Result Declared
202,Maharashtra,6,Akola,ANUP SANJAY DHOTRE,Bharatiya Janata Party,ABHAY KASHINATH PATIL,Indian National Congress,40626,Result Declared
203,Maharashtra,7,Amravati ,BALWANT BASWANT WANKHADE,Indian National Congress,NAVNEET RAVI RANA,Bharatiya Janata Party,19731,Result Declared
204,Maharashtra,19,Aurangabad,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,134650,Result Declared
205,Maharashtra,35,Baramati,SUPRIYA SULE,Nationalist Congress Party  Sharadchandra Pawar,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,158333,Result Declared
206,Maharashtra,39,Beed,BAJRANG MANOHAR SONWANE,Nationalist Congress Party  Sharadchandra Pawar,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,6553,Result Declared
207,Maharashtra,11,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,SUNIL BABURAO MENDHE,Bharatiya Janata Party,37380,Result Declared
208,Maharashtra,23,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party  Sharadchandra Pawar,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,66121,Result Declared
209,Maharashtra,5,Buldhana,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),29479,Result Declared
210,Maharashtra,13,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,260406,Result Declared
211,Maharashtra,2,Dhule,BACHHAV SHOBHA DINESH,Indian National Congress,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,3831,Result Declared
212,Maharashtra,20,Dindori ,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party  Sharadchandra Pawar,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,113199,Result Declared
213,Maharashtra,12,Gadchiroli - Chimur,DR. KIRSAN NAMDEO,Indian National Congress,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,141696,Result Declared
214,Maharashtra,48,Hatkanangale,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),13426,Result Declared
215,Maharashtra,15,Hingoli,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),BABURAO KADAM KOHALIKAR,Shiv Sena,108602,Result Declared
216,Maharashtra,3,Jalgaon,SMITA UDAY WAGH,Bharatiya Janata Party,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),251594,Result Declared
217,Maharashtra,18,Jalna,KALYAN VAIJINATHRAO KALE,Indian National Congress,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,109958,Result Declared
218,Maharashtra,24,Kalyan,DR SHRIKANT EKNATH SHINDE,Shiv Sena,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),209144,Result Declared
219,Maharashtra,47,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,154964,Result Declared
220,Maharashtra,41,Latur ,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,61881,Result Declared
221,Maharashtra,43,Madha,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party  Sharadchandra Pawar,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,120837,Result Declared
222,Maharashtra,33,Maval,SHRIRANG APPA CHANDU BARNE,Shiv Sena,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),96615,Result Declared
223,Maharashtra,26,Mumbai North,PIYUSH GOYAL,Bharatiya Janata Party,BHUSHAN PATIL,Indian National Congress,357608,Result Declared
224,Maharashtra,29,Mumbai North Central,GAIKWAD VARSHA EKNATH,Indian National Congress,ADV UJWAL NIKAM,Bharatiya Janata Party,16514,Result Declared
225,Maharashtra,28,Mumbai North East,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,29861,Result Declared
226,Maharashtra,27,Mumbai North West,RAVINDRA DATTARAM WAIKAR,Shiv Sena,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),48,Result Declared
227,Maharashtra,31,Mumbai South,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),YAMINI YASHWANT JADHAV,Shiv Sena,52673,Result Declared
228,Maharashtra,30,Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),RAHUL RAMESH SHEWALE,Shiv Sena,53384,Result Declared
229,Maharashtra,10,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,VIKAS THAKRE,Indian National Congress,137603,Result Declared
230,Maharashtra,16,Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,59442,Result Declared
231,Maharashtra,1,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,159120,Result Declared
232,Maharashtra,21,Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),GODSE HEMANT TUKARAM,Shiv Sena,162001,Result Declared
233,Maharashtra,40,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,329846,Result Declared
234,Maharashtra,22,Palghar,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),183306,Result Declared
235,Maharashtra,17,Parbhani,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,134061,Result Declared
236,Maharashtra,34,Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Result Declared
237,Maharashtra,32,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784,Result Declared
238,Maharashtra,9,Ramtek ,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Result Declared
239,Maharashtra,46,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Result Declared
240,Maharashtra,4,Raver,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party  Sharadchandra Pawar,272183,Result Declared
241,Maharashtra,44,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Result Declared
242,Maharashtra,45,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party  Sharadchandra Pawar,32771,Result Declared
243,Maharashtra,38,Shirdi ,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared
244,Maharashtra,36,Shirur,DR. AMOL RAMSING KOLHE,Nationalist Congress Party  Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared
245,Maharashtra,42,Solapur,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared
246,Maharashtra,25,Thane,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Result Declared
247,Maharashtra,8,Wardha,AMAR SHARADRAO KALE,Nationalist Congress Party  Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared
248,Maharashtra,14,Yavatmal- Washim,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared
249,Manipur,1,Inner Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,109801,Result Declared
250,Manipur,2,Outer Manipur,ALFRED KANNGAM S ARTHUR,Indian National Congress,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,85418,Result Declared
251,Meghalaya,1,Shillong,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910,Result Declared
252,Meghalaya,2,Tura,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Result Declared
253,Mizoram,1,MIZORAM,RICHARD VANLALHMANGAIHA,Zoram Peoples Movement,K VANLALVENA,Mizo National Front,68288,Result Declared
254,Nagaland,1,Nagaland,S SUPONGMEREN JAMIR,Indian National Congress,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,50984,Result Declared
255,Odisha,19,Aska,ANITA SUBHADARSHINI,Bharatiya Janata Party,RANJITA SAHU,Biju Janata Dal,99974,Result Declared
256,Odisha,6,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,147156,Result Declared
257,Odisha,1,Bargarh,PRADEEP PUROHIT,Bharatiya Janata Party,PARINITA MISHRA,Biju Janata Dal,251667,Result Declared
258,Odisha,20,Berhampur,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,BHRUGU BAXIPATRA,Biju Janata Dal,165476,Result Declared
259,Odisha,7,Bhadrak,AVIMANYU SETHI,Bharatiya Janata Party,MANJULATA MANDAL,Biju Janata Dal,91544,Result Declared
260,Odisha,18,Bhubaneswar,APARAJITA SARANGI,Bharatiya Janata Party,MANMATH KUMAR ROUTRAY,Biju Janata Dal,35152,Result Declared
261,Odisha,10,Bolangir,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,SURENDRA SINGH BHOI,Biju Janata Dal,132664,Result Declared
262,Odisha,14,Cuttack,BHARTRUHARI MAHTAB,Bharatiya Janata Party,SANTRUPT MISRA,Biju Janata Dal,57077,Result Declared
263,Odisha,9,Dhenkanal,RUDRA NARAYAN PANY,Bharatiya Janata Party,ABINASH SAMAL,Biju Janata Dal,76567,Result Declared
264,Odisha,16,Jagatsinghpur,BIBHU PRASAD TARAI,Bharatiya Janata Party,DR. RAJASHREE MALLICK,Biju Janata Dal,40696,Result Declared
265,Odisha,8,Jajpur,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,SARMISTHA SETHI,Biju Janata Dal,1587,Result Declared
266,Odisha,11,Kalahandi,MALVIKA DEVI,Bharatiya Janata Party,LAMBODAR NIAL,Biju Janata Dal,133813,Result Declared
267,Odisha,13,Kandhamal,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,ACHYUTANANDA SAMANTA,Biju Janata Dal,21371,Result Declared
268,Odisha,15,Kendrapara,BAIJAYANT PANDA,Bharatiya Janata Party,ANSHUMAN MOHANTY,Biju Janata Dal,66536,Result Declared
269,Odisha,4,Keonjhar,ANANTA NAYAK,Bharatiya Janata Party,DHANURJAYA SIDU,Biju Janata Dal,97042,Result Declared
270,Odisha,21,Koraput,SAPTAGIRI SANKAR ULAKA,Indian National Congress,KAUSALYA HIKAKA,Biju Janata Dal,147744,Result Declared
271,Odisha,5,Mayurbhanj,NABA CHARAN MAJHI,Bharatiya Janata Party,SUDAM MARNDI,Biju Janata Dal,219334,Result Declared
272,Odisha,12,Nabarangpur,BALABHADRA MAJHI,Bharatiya Janata Party,PRADEEP KUMAR MAJHI,Biju Janata Dal,87536,Result Declared
273,Odisha,17,Puri,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709,Result Declared
274,Odisha,3,Sambalpur,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Result Declared
275,Odisha,2,Sundargarh,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Result Declared
276,Punjab,2,Amritsar,GURJEET SINGH AUJLA,Indian National Congress,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,40301,Result Declared
277,Punjab,6,Anandpur Sahib,MALVINDER SINGH KANG,Aam Aadmi Party,VIJAY INDER SINGLA,Indian National Congress,10846,Result Declared
278,Punjab,11,Bathinda,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,GURMEET SINGH KHUDIAN,Aam Aadmi Party,49656,Result Declared
279,Punjab,9,Faridkot,SARABJEET SINGH KHALSA,Independent,KARAMJIT SINGH ANMOL,Aam Aadmi Party,70053,Result Declared
280,Punjab,8,Fatehgarh Sahib,AMAR SINGH,Indian National Congress,GURPREET SINGH GP,Aam Aadmi Party,34202,Result Declared
281,Punjab,10,Firozpur,SHER SINGH GHUBAYA,Indian National Congress,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3242,Result Declared
282,Punjab,1,Gurdaspur,SUKHJINDER SINGH RANDHAWA,Indian National Congress,DINESH SINGH BABBU,Bharatiya Janata Party,82861,Result Declared
283,Punjab,5,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,YAMINI GOMAR,Indian National Congress,44111,Result Declared
284,Punjab,4,Jalandhar,CHARANJIT SINGH CHANNI,Indian National Congress,SUSHIL KUMAR RINKU,Bharatiya Janata Party,175993,Result Declared
285,Punjab,3,Khadoor Sahib,AMRITPAL SINGH,Independent,KULBIR SINGH ZIRA,Indian National Congress,197120,Result Declared
286,Punjab,7,Ludhiana,AMRINDER SINGH RAJA WARRING,Indian National Congress,RAVNEET SINGH BITTU,Bharatiya Janata Party,20942,Result Declared
287,Punjab,13,Patiala,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831,Result Declared
288,Punjab,12,Sangrur,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Result Declared
289,Rajasthan,13,AJMER ,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,RAMCHANDRA CHOUDHARY,Indian National Congress,329991,Result Declared
290,Rajasthan,8,ALWAR,BHUPENDER YADAV,Bharatiya Janata Party,LALIT YADAV,Indian National Congress,48282,Result Declared
291,Rajasthan,20,BANSWARA ,RAJ KUMAR ROAT,Bharat Adivasi Party,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,247054,Result Declared
292,Rajasthan,17,BARMER,UMMEDA RAM BENIWAL,Indian National Congress,RAVINDRA SINGH BHATI,Independent,118176,Result Declared
293,Rajasthan,9,BHARATPUR ,SANJNA JATAV,Indian National Congress,RAMSWAROOP KOLI,Bharatiya Janata Party,51983,Result Declared
294,Rajasthan,23,BHILWARA,DAMODAR AGARWAL,Bharatiya Janata Party,C P JOSHI,Indian National Congress,354606,Result Declared
295,Rajasthan,2,BIKANER ,ARJUN RAM MEGHWAL,Bharatiya Janata Party,GOVINDRAM MEGHWAL,Indian National Congress,55711,Result Declared
296,Rajasthan,21,CHITTORGARH,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,ANJANA UDAILAL,Indian National Congress,389877,Result Declared
297,Rajasthan,3,CHURU,RAHUL KASWAN,Indian National Congress,DEVENDRA JHAJHARIA,Bharatiya Janata Party,72737,Result Declared
298,Rajasthan,11,DAUSA ,MURARI LAL MEENA,Indian National Congress,KANHAIYA LAL MEENA,Bharatiya Janata Party,237340,Result Declared
299,Rajasthan,1,GANGANAGAR ,KULDEEP INDORA,Indian National Congress,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,88153,Result Declared
300,Rajasthan,7,JAIPUR,MANJU SHARMA,Bharatiya Janata Party,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,331767,Result Declared
301,Rajasthan,6,JAIPUR RURAL,RAO RAJENDRA SINGH,Bharatiya Janata Party,ANIL CHOPRA,Indian National Congress,1615,Result Declared
302,Rajasthan,18,JALORE ,LUMBARAM,Bharatiya Janata Party,VAIBHAV GEHLOT,Indian National Congress,201543,Result Declared
303,Rajasthan,25,JHALAWAR-BARAN,DUSHYANT SINGH,Bharatiya Janata Party,URMILA JAIN BHAYA,Indian National Congress,370989,Result Declared
304,Rajasthan,4,JHUNJHUNU     ,BRIJENDRA SINGH OLA,Indian National Congress,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,18235,Result Declared
305,Rajasthan,16,JODHPUR,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,KARAN SINGH UCHIYARDA,Indian National Congress,115677,Result Declared
306,Rajasthan,10,KARAULI-DHOLPUR ,BHAJAN LAL JATAV,Indian National Congress,INDU DEVI,Bharatiya Janata Party,98945,Result Declared
307,Rajasthan,24,KOTA,OM BIRLA,Bharatiya Janata Party,PRAHLAD GUNJAL,Indian National Congress,41974,Result Declared
308,Rajasthan,14,NAGAUR,HANUMAN BENIWAL,Rashtriya Loktantrik Party,JYOTI MIRDHA,Bharatiya Janata Party,42225,Result Declared
309,Rajasthan,15,PALI,P. P. CHAUDHARY,Bharatiya Janata Party,SANGEETA BENIWAL,Indian National Congress,245351,Result Declared
310,Rajasthan,22,RAJSAMAND,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,DR. DAMODAR GURJAR,Indian National Congress,392223,Result Declared
311,Rajasthan,5,SIKAR,AMRARAM,Communist Party of India  (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896,Result Declared
312,Rajasthan,12,TONK-SAWAI MADHOPUR ,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Result Declared
313,Rajasthan,19,UDAIPUR ,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Result Declared
314,Sikkim,1,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Result Declared
315,Tamil Nadu,7,ARAKKONAM,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559,Result Declared
316,Tamil Nadu,12,ARANI,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766,Result Declared
317,Tamil Nadu,4,CHENNAI CENTRAL,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,VINOJ,Bharatiya Janata Party,244689,Result Declared
318,Tamil Nadu,2,CHENNAI NORTH,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222,Result Declared
319,Tamil Nadu,3,CHENNAI SOUTH,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945,Result Declared
320,Tamil Nadu,27,CHIDAMBARAM,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554,Result Declared
321,Tamil Nadu,20,COIMBATORE,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,ANNAMALAI K,Bharatiya Janata Party,118068,Result Declared
322,Tamil Nadu,26,CUDDALORE,M.K. VISHNUPRASAD,Indian National Congress,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896,Result Declared
323,Tamil Nadu,10,DHARMAPURI,MANI. A.,Dravida Munnetra Kazhagam,SOWMIYA ANBUMANI,Pattali Makkal Katchi,21300,Result Declared
324,Tamil Nadu,22,DINDIGUL,SACHITHANANTHAM R,Communist Party of India  (Marxist),MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821,Result Declared
325,Tamil Nadu,17,ERODE,K E PRAKASH,Dravida Munnetra Kazhagam,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566,Result Declared
326,Tamil Nadu,14,KALLAKURICHI,MALAIYARASAN D,Dravida Munnetra Kazhagam,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784,Result Declared
327,Tamil Nadu,6,KANCHEEPURAM,SELVAM. G,Dravida Munnetra Kazhagam,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473,Result Declared
328,Tamil Nadu,39,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,RADHAKRISHNAN P,Bharatiya Janata Party,179907,Result Declared
329,Tamil Nadu,23,KARUR,JOTHIMANI. S,Indian National Congress,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816,Result Declared
330,Tamil Nadu,9,KRISHNAGIRI,GOPINATH K,Indian National Congress,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486,Result Declared
331,Tamil Nadu,32,MADURAI,VENKATESAN S,Communist Party of India  (Marxist),RAAMA SREENIVASAN,Bharatiya Janata Party,209409,Result Declared
332,Tamil Nadu,28,MAYILADUTHURAI,SUDHA R,Indian National Congress,BABU P,All India Anna Dravida Munnetra Kazhagam,271183,Result Declared
333,Tamil Nadu,29,NAGAPATTINAM,SELVARAJ V,Communist Party of India,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957,Result Declared
334,Tamil Nadu,16,NAMAKKAL,MATHESWARAN V S,Dravida Munnetra Kazhagam,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112,Result Declared
335,Tamil Nadu,19,NILGIRIS,RAJA A,Dravida Munnetra Kazhagam,DR MURUGAN L,Bharatiya Janata Party,240585,Result Declared
336,Tamil Nadu,25,PERAMBALUR,ARUN NEHRU,Dravida Munnetra Kazhagam,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,389107,Result Declared
337,Tamil Nadu,21,POLLACHI,ESWARASAMY K,Dravida Munnetra Kazhagam,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,252042,Result Declared
338,Tamil Nadu,35,RAMANATHAPURAM,NAVASKANI K,Indian Union Muslim League,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,166782,Result Declared
339,Tamil Nadu,15,SALEM,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357,Result Declared
